"pathway","control_mean","T2D_mean","log2FC","p_value","FDR","category","direction","importance_score"
"GLYOXYLATE-BYPASS: glyoxylate cycle",5.50235361370717e-06,1.86715656909091e-05,1.76270365227984,3.71898470350419e-37,1.27189276859843e-34,"Carbohydrate metabolism","T2D_enriched",59.7478089029798
"TCA-GLYOX-BYPASS: superpathway of glyoxylate bypass and TCA",6.54513512461059e-06,2.32563235454545e-05,1.8291123269787,1.03539855087082e-34,1.18035434799273e-32,"Carbohydrate metabolism","T2D_enriched",58.3998756871917
"GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass",9.61993445482866e-06,3.35748870181818e-05,1.8032728756019,8.46361026711094e-35,1.18035434799273e-32,"Carbohydrate metabolism","T2D_enriched",57.5748740041497
"PWY-5918: superpathay of heme biosynthesis from glutamate",4.3621354517134e-06,1.51370943272727e-05,1.79495828049524,3.8498337005329e-27,4.70229687707947e-26,"Amino acid metabolism","T2D_enriched",45.4621468112401
"PWY-561: superpathway of glyoxylate cycle and fatty acid degradation",5.07074757009346e-06,1.65028273636364e-05,1.70242314622889,1.49166802247944e-28,2.685002440463e-27,"Lipid metabolism","T2D_enriched",45.2351795883648
"PWY-6284: superpathway of unsaturated fatty acids biosynthesis (E. coli)",3.97807585669782e-06,1.54676887272727e-05,1.95908800651588,4.45323045562941e-24,3.24043577835161e-23,"Lipid metabolism","T2D_enriched",44.0587071162714
"P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)",5.81117546728972e-06,1.80269852727273e-05,1.63323940371192,1.03912236191326e-28,1.9743324876352e-27,"Carbohydrate metabolism","T2D_enriched",43.6149718388463
"FAO-PWY: fatty acid &beta;-oxidation I",1.34446234423676e-05,3.68963047454545e-05,1.4564401649225,2.41572159591253e-32,1.37696130967014e-30,"Lipid metabolism","T2D_enriched",43.4908737494378
"PWY-5136: fatty acid &beta;-oxidation II (peroxisome)",1.24499702803738e-05,3.40140004363636e-05,1.44997904866909,8.3845338216195e-32,3.58438820874233e-30,"Lipid metabolism","T2D_enriched",42.6954812678167
"P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate",1.06491046105919e-05,3.17931602545455e-05,1.57797528635092,2.79536857565072e-28,4.55245739463117e-27,"Short chain fatty acid metabolism","T2D_enriched",41.5666369846703
