"pathway","log2FC","pvalue","FDR"
"UNINTEGRATED|g__Escherichia.s__Escherichia_coli",2.17528663351643,3.87762339802042e-40,8.40280990351024e-37
"GLYOXYLATE-BYPASS: glyoxylate cycle",1.59707786803982,3.71898470350419e-37,4.02951992624679e-34
"GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass",1.70294967502766,8.46361026711094e-35,5.60927164934265e-32
"TCA-GLYOX-BYPASS: superpathway of glyoxylate bypass and TCA",1.68474225919622,1.03539855087082e-34,5.60927164934265e-32
"P441-PWY: superpathway of N-acetylneuraminate degradation",1.31451824745379,1.31030194395323e-32,5.67884862509328e-30
"PWY-6803: phosphatidylcholine acyl editing",1.61437953092423,1.85983455600127e-32,6.7171024714246e-30
"FAO-PWY: fatty acid &beta;-oxidation I",1.39152458389765,2.41572159591253e-32,7.47838385477494e-30
"PWY-4702: phytate degradation I",1.76613896740088,6.85154351726221e-32,1.8559118502384e-29
"PWY-5136: fatty acid &beta;-oxidation II (peroxisome)",1.38032891772366,8.3845338216195e-32,2.01880942127216e-29
"PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Escherichia.s__Escherichia_coli",2.03328080437074,1.70587708981214e-31,3.69663565362291e-29
"PWY-5675: nitrate reduction V (assimilatory)",1.87404646471029,3.83878136397313e-31,7.56239928702707e-29
"PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Escherichia.s__Escherichia_coli",2.02822785170925,2.95436038480476e-30,5.33508246155993e-28
"PWY-5913: TCA cycle VI (obligate autotrophs)|unclassified",1.33164735717825,5.70215267806757e-30,9.50504988720956e-28
"PWY-5913: TCA cycle VI (obligate autotrophs)",1.36391631084197,1.06437095410684e-29,1.64749418396395e-27
"PWY-7117: C4 photosynthetic carbon assimilation cycle, PEPCK type",1.24206724183835,1.31650283207498e-29,1.90190775807099e-27
"VALSYN-PWY: L-valine biosynthesis|g__Escherichia.s__Escherichia_coli",1.98108902922332,1.57575788714305e-29,2.13416708839937e-27
"PWY-7254: TCA cycle VII (acetate-producers)",1.31220452656021,2.78042674703805e-29,3.54422632990085e-27
"PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type",1.22323277647187,3.26159006529591e-29,3.8031370133954e-27
"PWY-5656: mannosylglycerate biosynthesis I",1.75894216831131,3.33454560473062e-29,3.8031370133954e-27
"GLUCARDEG-PWY: D-glucarate degradation I",1.57662313196587,5.10208829922905e-29,5.52811267221467e-27
"PWY-5173: superpathway of acetyl-CoA biosynthesis",1.47597942443374,6.45465189449513e-29,6.66058602636712e-27
"SULFATE-CYS-PWY: superpathway of sulfate assimilation and cysteine biosynthesis",1.11407000553674,8.38413149364536e-29,8.25836952124068e-27
"P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)",1.48207128815302,1.03912236191326e-28,9.790339818548e-27
"PWY-561: superpathway of glyoxylate cycle and fatty acid degradation",1.52764189995279,1.49166802247944e-28,1.3468519186304e-26
"SO4ASSIM-PWY: sulfate reduction I (assimilatory)",1.14167148832564,1.59348483994968e-28,1.38123265926839e-26
"P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate",1.49317587122825,2.79536857565072e-28,2.32983219362889e-26
"P161-PWY: acetylene degradation",1.60437257288034,3.12348701211186e-28,2.50688753898015e-26
"PWY4LZ-257: superpathway of fermentation (Chlamydomonas reinhardtii)",1.57364662739464,4.75188193442449e-28,3.67761719710638e-26
"GLYOXYLATE-BYPASS: glyoxylate cycle|unclassified",1.1491329007058,6.38163814718144e-28,4.76862409135937e-26
"KETOGLUCONMET-PWY: ketogluconate metabolism",1.74570336461435,2.32049339316581e-27,1.67616972766344e-25
