"feature","pathway","species","category","direction","log2FC","FDR","importance_score"
"GLYOXYLATE-BYPASS: glyoxylate cycle|g__Escherichia.s__Escherichia_coli","GLYOXYLATE-BYPASS: glyoxylate cycle","g__Escherichia.s__Escherichia_coli","Carbohydrate metabolism","T2D_enriched",1.76270365227984,1.27189276859843e-34,59.7478089029798
"GLYOXYLATE-BYPASS: glyoxylate cycle|g__Kluyvera.s__Kluyvera_ascorbata","GLYOXYLATE-BYPASS: glyoxylate cycle","g__Kluyvera.s__Kluyvera_ascorbata","Carbohydrate metabolism","T2D_enriched",1.76270365227984,1.27189276859843e-34,59.7478089029798
"GLYOXYLATE-BYPASS: glyoxylate cycle|g__Klebsiella.s__Klebsiella_pneumoniae","GLYOXYLATE-BYPASS: glyoxylate cycle","g__Klebsiella.s__Klebsiella_pneumoniae","Carbohydrate metabolism","T2D_enriched",1.76270365227984,1.27189276859843e-34,59.7478089029798
"GLYOXYLATE-BYPASS: glyoxylate cycle|g__Klebsiella.s__Klebsiella_oxytoca","GLYOXYLATE-BYPASS: glyoxylate cycle","g__Klebsiella.s__Klebsiella_oxytoca","Carbohydrate metabolism","T2D_enriched",1.76270365227984,1.27189276859843e-34,59.7478089029798
"GLYOXYLATE-BYPASS: glyoxylate cycle|g__Citrobacter.s__Citrobacter_braakii","GLYOXYLATE-BYPASS: glyoxylate cycle","g__Citrobacter.s__Citrobacter_braakii","Carbohydrate metabolism","T2D_enriched",1.76270365227984,1.27189276859843e-34,59.7478089029798
"GLYOXYLATE-BYPASS: glyoxylate cycle|g__Hafnia.s__Hafnia_alvei","GLYOXYLATE-BYPASS: glyoxylate cycle","g__Hafnia.s__Hafnia_alvei","Carbohydrate metabolism","T2D_enriched",1.76270365227984,1.27189276859843e-34,59.7478089029798
"GLYOXYLATE-BYPASS: glyoxylate cycle|g__Citrobacter.s__Citrobacter_freundii","GLYOXYLATE-BYPASS: glyoxylate cycle","g__Citrobacter.s__Citrobacter_freundii","Carbohydrate metabolism","T2D_enriched",1.76270365227984,1.27189276859843e-34,59.7478089029798
"GLYOXYLATE-BYPASS: glyoxylate cycle|g__Klebsiella.s__Klebsiella_variicola_CAG_634","GLYOXYLATE-BYPASS: glyoxylate cycle","g__Klebsiella.s__Klebsiella_variicola_CAG_634","Carbohydrate metabolism","T2D_enriched",1.76270365227984,1.27189276859843e-34,59.7478089029798
"GLYOXYLATE-BYPASS: glyoxylate cycle|g__Klebsiella.s__Klebsiella_variicola","GLYOXYLATE-BYPASS: glyoxylate cycle","g__Klebsiella.s__Klebsiella_variicola","Carbohydrate metabolism","T2D_enriched",1.76270365227984,1.27189276859843e-34,59.7478089029798
"GLYOXYLATE-BYPASS: glyoxylate cycle|g__Citrobacter.s__Citrobacter_youngae","GLYOXYLATE-BYPASS: glyoxylate cycle","g__Citrobacter.s__Citrobacter_youngae","Carbohydrate metabolism","T2D_enriched",1.76270365227984,1.27189276859843e-34,59.7478089029798
"GLYOXYLATE-BYPASS: glyoxylate cycle|g__Klebsiella.s__Klebsiella_aerogenes","GLYOXYLATE-BYPASS: glyoxylate cycle","g__Klebsiella.s__Klebsiella_aerogenes","Carbohydrate metabolism","T2D_enriched",1.76270365227984,1.27189276859843e-34,59.7478089029798
"GLYOXYLATE-BYPASS: glyoxylate cycle|g__Hafnia.s__Hafnia_paralvei","GLYOXYLATE-BYPASS: glyoxylate cycle","g__Hafnia.s__Hafnia_paralvei","Carbohydrate metabolism","T2D_enriched",1.76270365227984,1.27189276859843e-34,59.7478089029798
"GLYOXYLATE-BYPASS: glyoxylate cycle|g__Escherichia.s__Escherichia_marmotae","GLYOXYLATE-BYPASS: glyoxylate cycle","g__Escherichia.s__Escherichia_marmotae","Carbohydrate metabolism","T2D_enriched",1.76270365227984,1.27189276859843e-34,59.7478089029798
"GLYOXYLATE-BYPASS: glyoxylate cycle|g__Klebsiella.s__Klebsiella_quasipneumoniae","GLYOXYLATE-BYPASS: glyoxylate cycle","g__Klebsiella.s__Klebsiella_quasipneumoniae","Carbohydrate metabolism","T2D_enriched",1.76270365227984,1.27189276859843e-34,59.7478089029798
