"Species","Pathway","rho","p","FDR","Pathway_clean"
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","VALSYN.PWY..L.valine.biosynthesis.g__Escherichia.s__Escherichia_coli",0.836888558188834,7.23666269326671e-251,4.72613730946282e-249,"VALSYN PWY  L valine biosynthesis"
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.7111..pyruvate.fermentation.to.isobutanol..engineered..g__Escherichia.s__Escherichia_coli",0.847508899191203,1.42686952521989e-263,1.0699172682729e-261,"PWY 7111  pyruvate fermentation to isobutanol  engineered "
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY0.1586..peptidoglycan.maturation..meso.diaminopimelate.containing..g__Escherichia.s__Escherichia_coli",0.860449391850488,1.9685029772987e-280,1.8207153679878e-278,"PWY0 1586  peptidoglycan maturation  meso diaminopimelate containing "
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.5695..urate.biosynthesis.inosine.5..phosphate.degradation.g__Escherichia.s__Escherichia_coli",0.817600782679672,5.59623141839019e-230,3.08996765680266e-228,"PWY 5695  urate biosynthesis inosine 5  phosphate degradation"
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","GLYOXYLATE.BYPASS..glyoxylate.cycle",0.832524165186421,6.58035945080783e-246,4.17772576840312e-244,"GLYOXYLATE BYPASS  glyoxylate cycle"
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","FAO.PWY..fatty.acid..beta..oxidation.I",0.727635328973609,1.08892890987945e-157,3.61409356410082e-156,"FAO PWY  fatty acid  beta  oxidation I"
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.5675..nitrate.reduction.V..assimilatory.",0.816910952278329,2.80974087018992e-229,1.5328230058602e-227,"PWY 5675  nitrate reduction V  assimilatory "
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.4702..phytate.degradation.I",0.780604708365491,4.19546954532586e-196,1.77780582756703e-194,"PWY 4702  phytate degradation I"
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.5136..fatty.acid..beta..oxidation.II..peroxisome.",0.720993901752419,1.6455077476093e-153,5.32554114905666e-152,"PWY 5136  fatty acid  beta  oxidation II  peroxisome "
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.6803..phosphatidylcholine.acyl.editing",0.774238759257748,6.13721649366979e-191,2.49056173120618e-189,"PWY 6803  phosphatidylcholine acyl editing"
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","TCA.GLYOX.BYPASS..superpathway.of.glyoxylate.bypass.and.TCA",0.85135453424622,2.05248067946963e-268,1.64027414300948e-266,"TCA GLYOX BYPASS  superpathway of glyoxylate bypass and TCA"
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.5723..Rubisco.shunt",0.785775544719415,1.98584124283131e-200,8.76126229676256e-199,"PWY 5723  Rubisco shunt"
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.5173..superpathway.of.acetyl.CoA.biosynthesis",0.74950716274388,2.24168972098139e-172,8.04051740275628e-171,"PWY 5173  superpathway of acetyl CoA biosynthesis"
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","GLYCOLYSIS.TCA.GLYOX.BYPASS..superpathway.of.glycolysis..pyruvate.dehydrogenase..TCA..and.glyoxylate.bypass",0.855496502815332,8.73705884947885e-274,7.54492650693622e-272,"GLYCOLYSIS TCA GLYOX BYPASS  superpathway of glycolysis  pyruvate dehydrogenase  TCA  and glyoxylate bypass"
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","KETOGLUCONMET.PWY..ketogluconate.metabolism",0.737642378784259,3.16538711503256e-164,1.08211104358364e-162,"KETOGLUCONMET PWY  ketogluconate metabolism"
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","GLUCARDEG.PWY..D.glucarate.degradation.I",0.770960773054853,2.41021655583231e-188,9.60974964197387e-187,"GLUCARDEG PWY  D glucarate degradation I"
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.5913..TCA.cycle.VI..obligate.autotrophs..unclassified",0.79748045476865,1.11754567462471e-210,5.34456686019338e-209,"PWY 5913  TCA cycle VI  obligate autotrophs  unclassified"
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.7663..gondoate.biosynthesis..anaerobic..g__Escherichia.s__Escherichia_coli",0.79791984811824,4.47083176531415e-211,2.14376383146813e-209,"PWY 7663  gondoate biosynthesis  anaerobic "
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","P461.PWY..hexitol.fermentation.to.lactate..formate..ethanol.and.acetate",0.742146972065535,2.87865855745553e-167,9.99086430007565e-166,"P461 PWY  hexitol fermentation to lactate  formate  ethanol and acetate"
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.821..superpathway.of.sulfur.amino.acid.biosynthesis..Saccharomyces.cerevisiae.",0.719986111607758,6.91608773551073e-153,2.23436231611243e-151,"PWY 821  superpathway of sulfur amino acid biosynthesis  Saccharomyces cerevisiae "
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","GALACTARDEG.PWY..D.galactarate.degradation.I",0.710551383843596,3.52397892671334e-147,1.11476423652159e-145,"GALACTARDEG PWY  D galactarate degradation I"
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","GLUCARGALACTSUPER.PWY..superpathway.of.D.glucarate.and.D.galactarate.degradation",0.710551383843596,3.52397892671334e-147,1.11476423652159e-145,"GLUCARGALACTSUPER PWY  superpathway of D glucarate and D galactarate degradation"
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY0.1415..superpathway.of.heme.biosynthesis.from.uroporphyrinogen.III",0.765222990569195,6.60763246684415e-184,2.567114524059e-182,"PWY0 1415  superpathway of heme biosynthesis from uroporphyrinogen III"
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.6803..phosphatidylcholine.acyl.editing.g__Escherichia.s__Escherichia_coli",0.793245094272515,6.81771000611675e-207,3.144949215733e-205,"PWY 6803  phosphatidylcholine acyl editing"
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.5747..2.methylcitrate.cycle.II",0.770411133326089,6.49806100693131e-188,2.58517837570514e-186,"PWY 5747  2 methylcitrate cycle II"
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.5656..mannosylglycerate.biosynthesis.I",0.726325651343818,7.42870324310219e-157,2.44771070149304e-155,"PWY 5656  mannosylglycerate biosynthesis I"
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.6629..superpathway.of.L.tryptophan.biosynthesis",0.732211176440561,1.2154681307924e-160,4.0937236249849e-159,"PWY 6629  superpathway of L tryptophan biosynthesis"
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.5173..superpathway.of.acetyl.CoA.biosynthesis.unclassified",0.750915462555713,2.2526585982577e-173,8.16017739937446e-172,"PWY 5173  superpathway of acetyl CoA biosynthesis unclassified"
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.5083..NAD.NADH.phosphorylation.and.dephosphorylation.unclassified",0.714858994086929,9.3358164882417e-150,2.97391454951489e-148,"PWY 5083  NAD NADH phosphorylation and dephosphorylation unclassified"
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","NONOXIPENT.PWY..pentose.phosphate.pathway..non.oxidative.branch..g__Escherichia.s__Escherichia_coli",0.830105551405387,3.19819704976266e-243,1.99569686451114e-241,"NONOXIPENT PWY  pentose phosphate pathway  non oxidative branch "
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.5918..superpathay.of.heme.biosynthesis.from.glutamate",0.763534660761687,1.26406043662966e-182,4.86943873484758e-181,"PWY 5918  superpathay of heme biosynthesis from glutamate"
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.561..superpathway.of.glyoxylate.cycle.and.fatty.acid.degradation",0.80441331233332,4.49790804251687e-217,2.25775158244352e-215,"PWY 561  superpathway of glyoxylate cycle and fatty acid degradation"
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.7254..TCA.cycle.VII..acetate.producers.",0.773211922303775,4.02966368446814e-190,1.62803773824155e-188,"PWY 7254  TCA cycle VII  acetate producers "
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.5675..nitrate.reduction.V..assimilatory..unclassified",0.762484361074698,7.82905592525411e-182,2.98437715510576e-180,"PWY 5675  nitrate reduction V  assimilatory  unclassified"
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","P105.PWY..TCA.cycle.IV..2.oxoglutarate.decarboxylase.",0.806190333896646,9.3816861462042e-219,4.7883390271705e-217,"P105 PWY  TCA cycle IV  2 oxoglutarate decarboxylase "
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","GLYOXYLATE.BYPASS..glyoxylate.cycle.unclassified",0.739600765222376,1.53463166683136e-165,5.27594784930835e-164,"GLYOXYLATE BYPASS  glyoxylate cycle unclassified"
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","FERMENTATION.PWY..mixed.acid.fermentation.unclassified",0.737952105068033,1.96486503855057e-164,6.72966275703569e-163,"FERMENTATION PWY  mixed acid fermentation unclassified"
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","POLYAMSYN.PWY..superpathway.of.polyamine.biosynthesis.I.unclassified",0.710058788021221,6.897516864258e-147,2.17438849106652e-145,"POLYAMSYN PWY  superpathway of polyamine biosynthesis I unclassified"
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose..g__Faecalibacterium.s__Faecalibacterium_prausnitzii",0.866768911917213,2.69509236933179e-289,2.68345781757347e-287,"GLYCOGENSYNTH PWY  glycogen biosynthesis I  from ADP D Glucose "
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","PWY.6507..4.deoxy.L.threo.hex.4.enopyranuronate.degradation.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",0.733998784575459,8.21814078755261e-162,2.78332236598506e-160,"PWY 6507  4 deoxy L threo hex 4 enopyranuronate degradation"
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","PWY.7111..pyruvate.fermentation.to.isobutanol..engineered..g__Faecalibacterium.s__Faecalibacterium_prausnitzii",0.928513182123522,0,0,"PWY 7111  pyruvate fermentation to isobutanol  engineered "
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","ARGSYN.PWY..L.arginine.biosynthesis.I..via.L.ornithine..g__Faecalibacterium.s__Faecalibacterium_prausnitzii",0.85755000310709,1.64416459140354e-276,1.44726198164077e-274,"ARGSYN PWY  L arginine biosynthesis I  via L ornithine "
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","GALACTUROCAT.PWY..D.galacturonate.degradation.I.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",0.74417653718214,1.16965426982184e-168,4.11433792479223e-167,"GALACTUROCAT PWY  D galacturonate degradation I"
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","PWY.7400..L.arginine.biosynthesis.IV..archaebacteria..g__Faecalibacterium.s__Faecalibacterium_prausnitzii",0.857713204982923,9.94280922449161e-277,8.79455955725542e-275,"PWY 7400  L arginine biosynthesis IV  archaebacteria "
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","PWY.5177..glutaryl.CoA.degradation.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",0.901131422875803,0,0,"PWY 5177  glutaryl CoA degradation"
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","RIBOSYN2.PWY..flavin.biosynthesis.I..bacteria.and.plants..g__Faecalibacterium.s__Faecalibacterium_prausnitzii",0.823045900140316,1.28820040601187e-235,7.49913725173874e-234,"RIBOSYN2 PWY  flavin biosynthesis I  bacteria and plants "
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","PWY66.422..D.galactose.degradation.V..Leloir.pathway..g__Faecalibacterium.s__Faecalibacterium_prausnitzii",0.850296383051118,4.55172289365955e-267,3.55952544400732e-265,"PWY66 422  D galactose degradation V  Leloir pathway "
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","VALSYN.PWY..L.valine.biosynthesis.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",0.904624433598337,0,0,"VALSYN PWY  L valine biosynthesis"
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","PWY.7220..adenosine.deoxyribonucleotides.de.novo.biosynthesis.II.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",0.897060196709903,0,0,"PWY 7220  adenosine deoxyribonucleotides de novo biosynthesis II"
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","PWY.7222..guanosine.deoxyribonucleotides.de.novo.biosynthesis.II.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",0.897060196709903,0,0,"PWY 7222  guanosine deoxyribonucleotides de novo biosynthesis II"
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","PWY.6737..starch.degradation.V.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",0.877912573033066,4.30402345216929e-306,4.81126449828077e-304,"PWY 6737  starch degradation V"
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","DTDPRHAMSYN.PWY..dTDP.L.rhamnose.biosynthesis.I.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",0.918723255690593,0,0,"DTDPRHAMSYN PWY  dTDP L rhamnose biosynthesis I"
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","PWY.6151..S.adenosyl.L.methionine.cycle.I.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",0.840351355280936,6.60168290311696e-255,4.5392175161394e-253,"PWY 6151  S adenosyl L methionine cycle I"
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","PWY.6700..queuosine.biosynthesis.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",0.815246053826673,1.34223037165521e-227,7.23573361003834e-226,"PWY 6700  queuosine biosynthesis"
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","PWY0.1296..purine.ribonucleosides.degradation.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",0.835922479358474,9.32670111315476e-250,6.04775163639832e-248,"PWY0 1296  purine ribonucleosides degradation"
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","PWY.7242..D.fructuronate.degradation.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",0.726645014755917,4.65599219815945e-157,1.5396884544948e-155,"PWY 7242  D fructuronate degradation"
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","PWY.7219..adenosine.ribonucleotides.de.novo.biosynthesis.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",0.919934439482483,0,0,"PWY 7219  adenosine ribonucleotides de novo biosynthesis"
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","PWY.6124..inosine.5..phosphate.biosynthesis.II.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",0.856167500667657,1.13626653383335e-274,9.85900595856072e-273,"PWY 6124  inosine 5  phosphate biosynthesis II"
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","PWY.5686..UMP.biosynthesis.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",0.851408326532002,1.75218184794183e-268,1.40645398464088e-266,"PWY 5686  UMP biosynthesis"
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","COA.PWY..coenzyme.A.biosynthesis.I.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",0.838497276982964,9.87686063232174e-253,6.54422827569216e-251,"COA PWY  coenzyme A biosynthesis I"
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","PWY.6609..adenine.and.adenosine.salvage.III.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",0.830341498669322,1.75664732145029e-243,1.09992683313215e-241,"PWY 6609  adenine and adenosine salvage III"
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","PWY.6121..5.aminoimidazole.ribonucleotide.biosynthesis.I.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",0.894885606149279,0,0,"PWY 6121  5 aminoimidazole ribonucleotide biosynthesis I"
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","ARGSYNBSUB.PWY..L.arginine.biosynthesis.II..acetyl.cycle..g__Faecalibacterium.s__Faecalibacterium_prausnitzii",0.892772663026667,0,0,"ARGSYNBSUB PWY  L arginine biosynthesis II  acetyl cycle "
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","PWY.6305..putrescine.biosynthesis.IV.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",0.870205384777122,2.61538624352926e-294,2.70766776950833e-292,"PWY 6305  putrescine biosynthesis IV"
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","PWY.5667..CDP.diacylglycerol.biosynthesis.I.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",0.779930671979987,1.50609279719683e-195,6.32316056629571e-194,"PWY 5667  CDP diacylglycerol biosynthesis I"
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","PWY0.1319..CDP.diacylglycerol.biosynthesis.II.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",0.779930671979987,1.50609279719683e-195,6.32316056629571e-194,"PWY0 1319  CDP diacylglycerol biosynthesis II"
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","GLUTORN.PWY..L.ornithine.biosynthesis.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",0.866155709711663,2.04355638778156e-288,2.02367613813955e-286,"GLUTORN PWY  L ornithine biosynthesis"
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",0.90499883244254,0,0,"PWY 6122  5 aminoimidazole ribonucleotide biosynthesis II"
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",0.90499883244254,0,0,"PWY 6277  superpathway of 5 aminoimidazole ribonucleotide biosynthesis"
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","PWY.6168..flavin.biosynthesis.III..fungi..g__Faecalibacterium.s__Faecalibacterium_prausnitzii",0.782687488599206,7.85348712304289e-198,3.36702091456387e-196,"PWY 6168  flavin biosynthesis III  fungi "
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","PWY.7221..guanosine.ribonucleotides.de.novo.biosynthesis.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",0.839470935954904,7.17635954281214e-254,4.84297952702148e-252,"PWY 7221  guanosine ribonucleotides de novo biosynthesis"
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","HISTSYN.PWY..L.histidine.biosynthesis.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",0.795178063947941,1.30958763783207e-208,6.19792112959431e-207,"HISTSYN PWY  L histidine biosynthesis"
