"feature","metadata","value","coef","stderr","N","N.not.0","pval","qval"
"VALSYN.PWY..L.valine.biosynthesis.g__Escherichia.s__Escherichia_coli","study_condition","T2D",2.33488304243924,0.26466898538228,952,242,5.33222643376345e-18,3.55208314741473e-15
"PWY.7111..pyruvate.fermentation.to.isobutanol..engineered..g__Escherichia.s__Escherichia_coli","study_condition","T2D",2.23533539958938,0.254687807729047,952,248,7.73306618772631e-18,4.78345379897927e-15
"PWY0.1586..peptidoglycan.maturation..meso.diaminopimelate.containing..g__Escherichia.s__Escherichia_coli","study_condition","T2D",1.98929843612886,0.22269092904018,952,261,2.12119969958749e-18,1.53079911653564e-15
"PWY.5695..urate.biosynthesis.inosine.5..phosphate.degradation.g__Escherichia.s__Escherichia_coli","study_condition","T2D",1.9695783915056,0.256935189064208,952,227,4.39958725707076e-14,8.65918764687108e-12
"GLYOXYLATE.BYPASS..glyoxylate.cycle","study_condition","T2D",1.74875839672407,0.17183444090245,952,433,3.71015049284761e-23,1.60649516340301e-19
"FAO.PWY..fatty.acid..beta..oxidation.I","study_condition","T2D",1.73759988272159,0.194106100154933,952,589,1.81310616491814e-18,1.4274090352901e-15
"PWY.5675..nitrate.reduction.V..assimilatory.","study_condition","T2D",1.7215723264162,0.186729623872774,952,331,1.88363944089542e-19,2.71871959302573e-16
"PWY.4702..phytate.degradation.I","study_condition","T2D",1.68376780695481,0.186451415684587,952,314,9.36547225349084e-19,1.15864271021758e-15
"PWY.5136..fatty.acid..beta..oxidation.II..peroxisome.","study_condition","T2D",1.67792269308297,0.187231600399237,952,586,1.66850271694246e-18,1.4274090352901e-15
"PWY.5913..TCA.cycle.VI..obligate.autotrophs.","study_condition","T2D",1.65131765869834,0.183767714162549,952,611,1.36315367236468e-18,1.31165675585313e-15
"PWY.241..C4.photosynthetic.carbon.assimilation.cycle..NADP.ME.type","study_condition","T2D",1.57288878132595,0.184333053042037,952,606,5.60976781499169e-17,2.70629768869359e-14
"PWY.7117..C4.photosynthetic.carbon.assimilation.cycle..PEPCK.type","study_condition","T2D",1.57050139730818,0.181889885550405,952,605,2.47337422689843e-17,1.37895373477575e-14
"PWY66.389..phytol.degradation","study_condition","T2D",1.55856586592759,0.274385335243621,952,336,1.7894270696306e-08,1.21065925179695e-06
"PWY.6803..phosphatidylcholine.acyl.editing","study_condition","T2D",1.55418604346395,0.166786675525648,952,360,8.05736822167579e-20,1.39553617599425e-16
"TCA.GLYOX.BYPASS..superpathway.of.glyoxylate.bypass.and.TCA","study_condition","T2D",1.54229282053342,0.163641644227937,952,365,3.20216585590079e-20,6.93268907802522e-17
"SO4ASSIM.PWY..sulfate.reduction.I..assimilatory.","study_condition","T2D",1.53597635704909,0.180419674264372,952,601,6.56019413403545e-17,2.70629768869359e-14
"PWY.5723..Rubisco.shunt","study_condition","T2D",1.51801136490552,0.182149006367582,952,364,2.72908801107702e-16,9.08996237535653e-14
"PWY.5173..superpathway.of.acetyl.CoA.biosynthesis","study_condition","T2D",1.47886272889469,0.164193526231747,952,332,1.1436635392449e-18,1.23801578123261e-15
"P161.PWY..acetylene.degradation","study_condition","T2D",1.43875270463208,0.18054781718031,952,357,4.58456777250015e-15,1.16771637970151e-12
"GLYCOLYSIS.TCA.GLYOX.BYPASS..superpathway.of.glycolysis..pyruvate.dehydrogenase..TCA..and.glyoxylate.bypass","study_condition","T2D",1.43826157628473,0.152291812655889,952,361,2.70629621088053e-20,6.93268907802522e-17
"KETOGLUCONMET.PWY..ketogluconate.metabolism","study_condition","T2D",1.42400928825888,0.179703666087137,952,271,6.4245405034235e-15,1.39091301899119e-12
"GLUCARDEG.PWY..D.glucarate.degradation.I","study_condition","T2D",1.42222784007127,0.169093817673702,952,406,1.48520445833649e-16,5.59211765617132e-14
"SULFATE.CYS.PWY..superpathway.of.sulfate.assimilation.and.cysteine.biosynthesis","study_condition","T2D",1.39128615381844,0.161202014327261,952,598,2.54772052614457e-17,1.37895373477575e-14
"PWY.5913..TCA.cycle.VI..obligate.autotrophs..unclassified","study_condition","T2D",1.38638205618122,0.162574289852617,952,399,5.84796165510468e-17,2.70629768869359e-14
"PWY.7663..gondoate.biosynthesis..anaerobic..g__Escherichia.s__Escherichia_coli","study_condition","T2D",1.37638786174048,0.184538973107009,952,214,1.97600895465397e-13,3.00214693812339e-11
"GLUCOSE1PMETAB.PWY..glucose.and.glucose.1.phosphate.degradation","study_condition","T2D",1.3761333111024,0.192542362177328,952,554,1.76802794027309e-12,2.35555722504076e-10
"PWY4LZ.257..superpathway.of.fermentation..Chlamydomonas.reinhardtii.","study_condition","T2D",1.36707881927625,0.172253949550561,952,350,5.85884884725046e-15,1.30096489787664e-12
"PWY.7115..C4.photosynthetic.carbon.assimilation.cycle..NAD.ME.type","study_condition","T2D",1.3482387879825,0.194670723226097,952,524,7.99870387604739e-12,9.75616557275639e-10
"FERMENTATION.PWY..mixed.acid.fermentation","study_condition","T2D",1.34650415839216,0.162421676894415,952,569,3.84759114286047e-16,1.23407923322858e-13
"P461.PWY..hexitol.fermentation.to.lactate..formate..ethanol.and.acetate","study_condition","T2D",1.33044952105071,0.164564901243533,952,489,1.89473900080615e-15,5.12763742093164e-13
"PWY.821..superpathway.of.sulfur.amino.acid.biosynthesis..Saccharomyces.cerevisiae.","study_condition","T2D",1.32613760926366,0.158335073740287,952,340,1.96530324172388e-16,6.80781042933153e-14
"PWY.5791..1.4.dihydroxy.2.naphthoate.biosynthesis.II..plants.","study_condition","T2D",1.32446147985381,0.175206022842229,952,368,9.5459962574561e-14,1.5308949553624e-11
"PWY.5837..1.4.dihydroxy.2.naphthoate.biosynthesis.I","study_condition","T2D",1.32446147985381,0.175206022842229,952,368,9.5459962574561e-14,1.5308949553624e-11
"GALACTARDEG.PWY..D.galactarate.degradation.I","study_condition","T2D",1.32302507806048,0.181172030974665,952,522,5.98108001559394e-13,8.63269215584058e-11
"GLUCARGALACTSUPER.PWY..superpathway.of.D.glucarate.and.D.galactarate.degradation","study_condition","T2D",1.32302507806048,0.181172030974665,952,522,5.98108001559394e-13,8.63269215584058e-11
"GLUDEG.I.PWY..GABA.shunt","study_condition","T2D",1.3139972461305,0.222595523737983,952,615,4.9666689824944e-09,3.74011768594796e-07
"METHGLYUT.PWY..superpathway.of.methylglyoxal.degradation","study_condition","T2D",1.302166398929,0.198956076888931,952,439,9.73322479632347e-11,9.84567177305529e-09
"PWY.5345..superpathway.of.L.methionine.biosynthesis..by.sulfhydrylation.","study_condition","T2D",1.30010454117634,0.159579295804116,952,592,1.17165060839672e-15,3.38216475623852e-13
"PWY0.1415..superpathway.of.heme.biosynthesis.from.uroporphyrinogen.III","study_condition","T2D",1.29991458097813,0.152692085924521,952,320,6.56261564232857e-17,2.70629768869359e-14
"PWY.5863..superpathway.of.phylloquinol.biosynthesis","study_condition","T2D",1.29649037910946,0.169822875998576,952,362,5.53283674302206e-14,9.98215962386896e-12
"PWY.6803..phosphatidylcholine.acyl.editing.g__Escherichia.s__Escherichia_coli","study_condition","T2D",1.27650138307973,0.183421405421943,952,219,6.37596634714033e-12,8.00229979220801e-10
"PWY.5747..2.methylcitrate.cycle.II","study_condition","T2D",1.26246679222478,0.178184452888953,952,218,2.70919881561813e-12,3.50174055869447e-10
"PWY.5861..superpathway.of.demethylmenaquinol.8.biosynthesis","study_condition","T2D",1.25543914799498,0.16795016621709,952,366,1.75482288130884e-13,2.76304839129719e-11
"PWY.5897..superpathway.of.menaquinol.11.biosynthesis","study_condition","T2D",1.25203184023117,0.165592612816321,952,368,9.44518867054639e-14,1.5308949553624e-11
"PWY.5898..superpathway.of.menaquinol.12.biosynthesis","study_condition","T2D",1.25203184023117,0.165592612816321,952,368,9.44518867054639e-14,1.5308949553624e-11
"PWY.5899..superpathway.of.menaquinol.13.biosynthesis","study_condition","T2D",1.25203184023117,0.165592612816321,952,368,9.44518867054639e-14,1.5308949553624e-11
"P441.PWY..superpathway.of.N.acetylneuraminate.degradation","study_condition","T2D",1.24719765869195,0.146368940102449,952,543,6.17416616484014e-17,2.70629768869359e-14
"PWY.5656..mannosylglycerate.biosynthesis.I","study_condition","T2D",1.246284354849,0.148646412643676,952,245,1.83451556478771e-16,6.61954366294233e-14
"PWY.6629..superpathway.of.L.tryptophan.biosynthesis","study_condition","T2D",1.24543768469065,0.158934811367905,952,288,1.24467588189414e-14,2.56640312790553e-12
"PWY.5173..superpathway.of.acetyl.CoA.biosynthesis.unclassified","study_condition","T2D",1.24146875565732,0.156152263718229,952,265,5.27199204134598e-15,1.23238909499907e-12
"PWY.5838..superpathway.of.menaquinol.8.biosynthesis.I","study_condition","T2D",1.22157438855285,0.163620110187225,952,366,1.87393867378666e-13,2.89791230624866e-11
"PWY.6628..superpathway.of.L.phenylalanine.biosynthesis","study_condition","T2D",1.2171827120585,0.156560116678692,952,418,1.96975907508071e-14,3.96700316051138e-12
"PWY.5083..NAD.NADH.phosphorylation.and.dephosphorylation.unclassified","study_condition","T2D",1.16774085846511,0.170155746381295,952,285,1.21942757903171e-11,1.4667003936687e-09
"PWY.5083..NAD.NADH.phosphorylation.and.dephosphorylation","study_condition","T2D",1.16150162963921,0.169898843135712,952,667,1.45330336478665e-11,1.70075772149356e-09
"P4.PWY..superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.I","study_condition","T2D",1.15599417609038,0.14132541424383,952,430,9.10523541781577e-16,2.71901167994085e-13
"PYRIDNUCSAL.PWY..NAD.salvage.pathway.I","study_condition","T2D",1.15360861481823,0.150834213201506,952,429,5.00069730901909e-14,9.53685308995424e-12
"PWY.5189..tetrapyrrole.biosynthesis.II..from.glycine.","study_condition","T2D",1.14852478226179,0.170763834320791,952,346,3.01668649975427e-11,3.43743487998316e-09
"PWY0.781..aspartate.superpathway","study_condition","T2D",1.14355609814318,0.138483536040941,952,422,4.96071569064482e-16,1.53427849574943e-13
"HEME.BIOSYNTHESIS.II..heme.biosynthesis.I..aerobic.","study_condition","T2D",1.14098241068651,0.156655327650886,952,521,6.84526873180394e-13,9.71803724875772e-11
"PWY.5138..unsaturated..even.numbered.fatty.acid..beta..oxidation","study_condition","T2D",1.13486985526015,0.205965049194018,952,345,4.62485507755342e-08,2.88138453033184e-06
