"Pathway","Degree"
"ARGSYN.PWY..L.arginine.biosynthesis.I..via.L.ornithine..g__Eubacterium.s__Eubacterium_eligens",2
"ARGSYN.PWY..L.arginine.biosynthesis.I..via.L.ornithine..g__Eubacterium.s__Eubacterium_eligens_CAG_72",2
"ARGSYNBSUB.PWY..L.arginine.biosynthesis.II..acetyl.cycle..g__Eubacterium.s__Eubacterium_eligens",2
"ARGSYNBSUB.PWY..L.arginine.biosynthesis.II..acetyl.cycle..g__Eubacterium.s__Eubacterium_eligens_CAG_72",2
"BRANCHED.CHAIN.AA.SYN.PWY..superpathway.of.branched.amino.acid.biosynthesis.g__Eubacterium.s__Eubacterium_eligens",2
"BRANCHED.CHAIN.AA.SYN.PWY..superpathway.of.branched.amino.acid.biosynthesis.g__Eubacterium.s__Eubacterium_eligens_CAG_72",2
"CALVIN.PWY..Calvin.Benson.Bassham.cycle.g__Eubacterium.s__Eubacterium_eligens",2
"CALVIN.PWY..Calvin.Benson.Bassham.cycle.g__Eubacterium.s__Eubacterium_eligens_CAG_72",2
"COA.PWY..coenzyme.A.biosynthesis.I.g__Bacteroides.s__Bacteroides_fragilis",2
"COA.PWY..coenzyme.A.biosynthesis.I.g__Dialister.s__Dialister_invisus_CAG_218",2
"COA.PWY..coenzyme.A.biosynthesis.I.g__Eubacterium.s__Eubacterium_eligens",2
"COA.PWY..coenzyme.A.biosynthesis.I.g__Eubacterium.s__Eubacterium_eligens_CAG_72",2
"COA.PWY.1..coenzyme.A.biosynthesis.II..mammalian..g__Bacteroides.s__Bacteroides_fragilis",2
"COA.PWY.1..coenzyme.A.biosynthesis.II..mammalian..g__Dialister.s__Dialister_invisus",2
"COA.PWY.1..coenzyme.A.biosynthesis.II..mammalian..g__Dialister.s__Dialister_invisus_CAG_218",2
"COA.PWY.1..coenzyme.A.biosynthesis.II..mammalian..g__Eubacterium.s__Eubacterium_eligens",2
"COA.PWY.1..coenzyme.A.biosynthesis.II..mammalian..g__Eubacterium.s__Eubacterium_eligens_CAG_72",2
"DTDPRHAMSYN.PWY..dTDP.L.rhamnose.biosynthesis.I.g__Bacteroides.s__Bacteroides_fragilis",2
"DTDPRHAMSYN.PWY..dTDP.L.rhamnose.biosynthesis.I.g__Bacteroides.s__Bacteroides_fragilis_CAG_47",2
"DTDPRHAMSYN.PWY..dTDP.L.rhamnose.biosynthesis.I.g__Eubacterium.s__Eubacterium_eligens",2
"DTDPRHAMSYN.PWY..dTDP.L.rhamnose.biosynthesis.I.g__Eubacterium.s__Eubacterium_eligens_CAG_72",2
"GLUTORN.PWY..L.ornithine.biosynthesis.g__Eubacterium.s__Eubacterium_eligens",2
"GLUTORN.PWY..L.ornithine.biosynthesis.g__Eubacterium.s__Eubacterium_eligens_CAG_72",2
"GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose..g__Eubacterium.s__Eubacterium_eligens_CAG_72",2
"HISTSYN.PWY..L.histidine.biosynthesis.g__Bacteroides.s__Bacteroides_fragilis",2
"HSERMETANA.PWY..L.methionine.biosynthesis.III.g__Bacteroides.s__Bacteroides_fragilis",2
"HSERMETANA.PWY..L.methionine.biosynthesis.III.g__Eubacterium.s__Eubacterium_eligens",2
"HSERMETANA.PWY..L.methionine.biosynthesis.III.g__Eubacterium.s__Eubacterium_eligens_CAG_72",2
"ILEUSYN.PWY..L.isoleucine.biosynthesis.I..from.threonine..g__Eubacterium.s__Eubacterium_eligens",2
"ILEUSYN.PWY..L.isoleucine.biosynthesis.I..from.threonine..g__Eubacterium.s__Eubacterium_eligens_CAG_72",2
"NONOXIPENT.PWY..pentose.phosphate.pathway..non.oxidative.branch..g__Eubacterium.s__Eubacterium_eligens_CAG_72",2
"PANTO.PWY..phosphopantothenate.biosynthesis.I.g__Bacteroides.s__Bacteroides_fragilis",2
"PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing..g__Dialister.s__Dialister_invisus",2
"PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing..g__Dialister.s__Dialister_invisus_CAG_218",2
"PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing..g__Eubacterium.s__Eubacterium_eligens",2
