"Pathway_clean","Connections","Mean_rho","Category"
"PWY 6122  5 aminoimidazole ribonucleotide biosynthesis II",16,0.907391674669424,"Nucleotide metabolism"
"PWY 6277  superpathway of 5 aminoimidazole ribonucleotide biosynthesis",16,0.907391674669424,"Nucleotide metabolism"
"VALSYN PWY  L valine biosynthesis",16,0.88677506340127,"Amino acid metabolism"
"PWY 7221  guanosine ribonucleotides de novo biosynthesis",15,0.864050966091985,"Nucleotide metabolism"
"COA PWY 1  coenzyme A biosynthesis II  mammalian ",14,0.862766607595972,"Lipid and cofactor metabolism"
"PWY 7111  pyruvate fermentation to isobutanol  engineered ",14,0.879475971890748,"Energy metabolism"
"DTDPRHAMSYN PWY  dTDP L rhamnose biosynthesis I",13,0.852727870151596,"Other metabolism"
"PWY 2942  L lysine biosynthesis III",13,0.844179588274057,"Amino acid metabolism"
"PWY 6387  UDP N acetylmuramoyl pentapeptide biosynthesis I  meso diaminopimelate containing ",13,0.854583760701084,"Lipid and cofactor metabolism"
"COA PWY  coenzyme A biosynthesis I",12,0.851078804046066,"Lipid and cofactor metabolism"
"PWY 5097  L lysine biosynthesis VI",12,0.866979265025432,"Amino acid metabolism"
"PWY 5686  UMP biosynthesis",12,0.86207902067824,"Nucleotide metabolism"
"PWY 6121  5 aminoimidazole ribonucleotide biosynthesis I",11,0.894094620331884,"Nucleotide metabolism"
"PWY 6609  adenine and adenosine salvage III",11,0.802904110375748,"Nucleotide metabolism"
"PWY 6700  queuosine biosynthesis",11,0.822209067527974,"Other metabolism"
