"pathway","control_mean","T2D_mean","log2FC","p_value","FDR","category","direction"
"PWY-6285: superpathway of fatty acids biosynthesis (E. coli)",3.52743529595016e-06,1.71352718181818e-05,2.28024507366521,9.47510174964768e-19,3.81233505691707e-18,"Lipid metabolism","T2D_enriched"
"PWY-7094: fatty acid salvage",8.03544299065421e-07,3.75408761454545e-06,2.22387175361739,2.33984943924263e-18,8.89142786912199e-18,"Lipid metabolism","T2D_enriched"
"PWY-5656: mannosylglycerate biosynthesis I",1.94482973520249e-06,8.96677244909091e-06,2.20488684033384,3.33454560473062e-29,8.14581854869909e-28,"Other","T2D_enriched"
"PWY-5860: superpathway of demethylmenaquinol-6 biosynthesis I",2.55712806853583e-06,1.15808919454545e-05,2.17910609022166,7.71749818929417e-19,3.14212426278406e-18,"Other","T2D_enriched"
"PWY-5855: ubiquinol-7 biosynthesis (prokaryotic)",5.4853277258567e-07,2.46681371454545e-06,2.16879454597161,2.48638466128614e-14,6.59181049736327e-14,"Other","T2D_enriched"
"PWY-5856: ubiquinol-9 biosynthesis (prokaryotic)",5.4853277258567e-07,2.46681371454545e-06,2.16879454597161,2.48638466128614e-14,6.59181049736327e-14,"Other","T2D_enriched"
"PWY-5857: ubiquinol-10 biosynthesis (prokaryotic)",5.4853277258567e-07,2.46681371454545e-06,2.16879454597161,2.48638466128614e-14,6.59181049736327e-14,"Other","T2D_enriched"
"PWY-6708: ubiquinol-8 biosynthesis (prokaryotic)",5.4853277258567e-07,2.46681371454545e-06,2.16879454597161,2.48638466128614e-14,6.59181049736327e-14,"Other","T2D_enriched"
"PWY-5850: superpathway of menaquinol-6 biosynthesis I",3.50515722741433e-06,1.54953472181818e-05,2.14425217054067,7.5733482045557e-19,3.12058444091331e-18,"Other","T2D_enriched"
"PWY-5705: allantoin degradation to glyoxylate III",5.30754166666667e-07,2.32713458909091e-06,2.13222915278278,1.85249080804651e-17,6.39951370052432e-17,"Carbohydrate metabolism","T2D_enriched"
"UBISYN-PWY: superpathway of ubiquinol-8 biosynthesis (prokaryotic)",6.05169408099689e-07,2.65014792181818e-06,2.13047798485917,5.12961472864071e-13,1.24420442354264e-12,"Other","T2D_enriched"
"KETOGLUCONMET-PWY: ketogluconate metabolism",2.31110074766355e-06,1.01040516090909e-05,2.12823371067718,2.32049339316581e-27,3.30670308526128e-26,"Other","T2D_enriched"
"PWY-5896: superpathway of menaquinol-10 biosynthesis",3.55511813084112e-06,1.54953472181818e-05,2.12383440912367,1.5962200279204e-18,6.20349147214519e-18,"Other","T2D_enriched"
"PWY-5675: nitrate reduction V (assimilatory)",4.32871475233645e-06,1.85328975454545e-05,2.09805227499783,3.83878136397313e-31,1.45873691830979e-29,"Other","T2D_enriched"
"ENTBACSYN-PWY: enterobactin biosynthesis",3.20566621495327e-06,1.35038703636364e-05,2.07464251910413,3.68586397621536e-17,1.23584850967221e-16,"Other","T2D_enriched"
"PWY-6113: superpathway of mycolate biosynthesis",7.72295763239875e-06,3.24018007272727e-05,2.06883440302702,1.75235465964439e-24,1.30283759477909e-23,"Other","T2D_enriched"
"PWY-7204: pyridoxal 5'-phosphate salvage II (plants)",1.92717783333333e-06,7.97648506363636e-06,2.04920666861593,1.14667073632394e-19,5.60230559746838e-19,"Other","T2D_enriched"
"PWY-5971: palmitate biosynthesis II (bacteria and plants)",1.15666813084112e-05,4.77209158181818e-05,2.04463729230771,1.15602518374578e-24,8.7857913964679e-24,"Other","T2D_enriched"
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",2.030186105919e-06,8.28218009090909e-06,2.02834494782513,1.19438672235309e-21,7.16632033411851e-21,"Amino acid metabolism","T2D_enriched"
"ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation",2.030186105919e-06,8.28218009090909e-06,2.02834494782513,1.19438672235309e-21,7.16632033411851e-21,"Other","T2D_enriched"
"KDO-NAGLIPASYN-PWY: superpathway of (Kdo)2-lipid A biosynthesis",8.09331641744548e-07,3.27484130909091e-06,2.01648789997804,9.93349287768176e-18,3.50232429295584e-17,"Lipid metabolism","T2D_enriched"
"PWY-4702: phytate degradation I",4.07705231619938e-06,1.62692089490909e-05,1.99651921294007,6.85154351726221e-32,3.34746840414811e-30,"Other","T2D_enriched"
"PWY3O-355: stearate biosynthesis III (fungi)",1.37356066978193e-06,5.39755554545455e-06,1.97430724866626,9.96323845620308e-21,5.24219623387916e-20,"Other","T2D_enriched"
"HCAMHPDEG-PWY: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate",1.63464179127726e-06,6.40617642545455e-06,1.97042327160955,1.68259828172099e-19,7.67264816464771e-19,"Other","T2D_enriched"
"PWY-6690: cinnamate and 3-hydroxycinnamate degradation to 2-oxopent-4-enoate",1.63464179127726e-06,6.40617642545455e-06,1.97042327160955,1.68259828172099e-19,7.67264816464771e-19,"Other","T2D_enriched"
"PWY-6284: superpathway of unsaturated fatty acids biosynthesis (E. coli)",3.97807585669782e-06,1.54676887272727e-05,1.95908800651588,4.45323045562941e-24,3.24043577835161e-23,"Lipid metabolism","T2D_enriched"
"ORNDEG-PWY: superpathway of ornithine degradation",3.90350406542056e-06,1.50994692181818e-05,1.95162875507202,5.19402153104789e-23,3.48304973258506e-22,"Other","T2D_enriched"
"PWY-5920: superpathway of heme biosynthesis from glycine",1.60257781931464e-06,6.17544196363636e-06,1.94608131799073,6.23839392162668e-21,3.33364175186925e-20,"Other","T2D_enriched"
