"Species","Connections","Mean_rho","Categories"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens",30,0.877045476202921,"Nucleotide metabolism; Other metabolism; Energy metabolism; Amino acid metabolism; Lipid and cofactor metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens_CAG_72",30,0.882971257611449,"Nucleotide metabolism; Other metabolism; Energy metabolism; Amino acid metabolism; Lipid and cofactor metabolism"
"UNINTEGRATED.g__Bacteroides.s__Bacteroides_fragilis_CAG_47",17,0.806470052016225,"Amino acid metabolism; Other metabolism; Nucleotide metabolism; Energy metabolism; Lipid and cofactor metabolism"
"UNINTEGRATED.g__Dialister.s__Dialister_invisus",17,0.953104822745892,"Nucleotide metabolism; Lipid and cofactor metabolism; Amino acid metabolism"
"UNINTEGRATED.g__Dialister.s__Dialister_invisus_CAG_218",17,0.957562486553732,"Nucleotide metabolism; Lipid and cofactor metabolism; Amino acid metabolism"
"UNINTEGRATED.g__Bacteroides.s__Bacteroides_fragilis",15,0.762048248505728,"Other metabolism; Lipid and cofactor metabolism; Amino acid metabolism; Nucleotide metabolism; Energy metabolism"
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza",15,0.89193147886512,"Nucleotide metabolism; Energy metabolism; Amino acid metabolism; Other metabolism; Lipid and cofactor metabolism"
"UNINTEGRATED.g__Parabacteroides.s__Parabacteroides_distasonis",15,0.814639068759509,"Amino acid metabolism; Energy metabolism; Nucleotide metabolism; Lipid and cofactor metabolism; Other metabolism"
"UNINTEGRATED.g__Barnesiella.s__Barnesiella_intestinihominis",14,0.794078490806533,"Lipid and cofactor metabolism; Amino acid metabolism; Nucleotide metabolism; Energy metabolism; Other metabolism"
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",14,0.855115260514047,"Energy metabolism; Other metabolism; Nucleotide metabolism; Amino acid metabolism; Lipid and cofactor metabolism"
"UNINTEGRATED.g__Gemmiger.s__Gemmiger_formicilis",6,0.836099784322597,"Amino acid metabolism; Energy metabolism; Nucleotide metabolism; Other metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_sp_CAG_180",5,0.942944030133045,"Amino acid metabolism; Energy metabolism; Nucleotide metabolism"
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli",2,0.842198728690019,"Energy metabolism; Amino acid metabolism"
"UNINTEGRATED.g__Lachnospiraceae_unclassified.s__Eubacterium_rectale",2,0.946931991523474,"Energy metabolism; Amino acid metabolism"
