"Species","Pathway","rho","p","FDR"
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","VALSYN.PWY..L.valine.biosynthesis.g__Escherichia.s__Escherichia_coli",0.836888558188834,7.23666269326671e-251,4.72613730946282e-249
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.7111..pyruvate.fermentation.to.isobutanol..engineered..g__Escherichia.s__Escherichia_coli",0.847508899191203,1.42686952521989e-263,1.0699172682729e-261
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY0.1586..peptidoglycan.maturation..meso.diaminopimelate.containing..g__Escherichia.s__Escherichia_coli",0.860449391850488,1.9685029772987e-280,1.8207153679878e-278
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.5695..urate.biosynthesis.inosine.5..phosphate.degradation.g__Escherichia.s__Escherichia_coli",0.817600782679672,5.59623141839019e-230,3.08996765680266e-228
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","GLYOXYLATE.BYPASS..glyoxylate.cycle",0.832524165186421,6.58035945080783e-246,4.17772576840312e-244
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","FAO.PWY..fatty.acid..beta..oxidation.I",0.727635328973609,1.08892890987945e-157,3.61409356410082e-156
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.5675..nitrate.reduction.V..assimilatory.",0.816910952278329,2.80974087018992e-229,1.5328230058602e-227
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.4702..phytate.degradation.I",0.780604708365491,4.19546954532586e-196,1.77780582756703e-194
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.5136..fatty.acid..beta..oxidation.II..peroxisome.",0.720993901752419,1.6455077476093e-153,5.32554114905666e-152
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.5913..TCA.cycle.VI..obligate.autotrophs.",0.677113517905815,1.11588296548641e-128,3.2741551552541e-127
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.241..C4.photosynthetic.carbon.assimilation.cycle..NADP.ME.type",0.663551991884147,7.39303219589414e-122,2.10481936939667e-120
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.7117..C4.photosynthetic.carbon.assimilation.cycle..PEPCK.type",0.667526906877614,8.06998383787651e-124,2.31564055921178e-122
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY66.389..phytol.degradation",0.466476642525658,1.32156353434464e-52,2.94739402194537e-51
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.6803..phosphatidylcholine.acyl.editing",0.774238759257748,6.13721649366979e-191,2.49056173120618e-189
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","TCA.GLYOX.BYPASS..superpathway.of.glyoxylate.bypass.and.TCA",0.85135453424622,2.05248067946963e-268,1.64027414300948e-266
