"feature","coef","qval"
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli",2.39932529161877,1.03546465061932e-20
"GLYOXYLATE.BYPASS..glyoxylate.cycle",1.74875839672407,1.60649516340301e-19
"GLYCOLYSIS.TCA.GLYOX.BYPASS..superpathway.of.glycolysis..pyruvate.dehydrogenase..TCA..and.glyoxylate.bypass",1.43826157628473,6.93268907802522e-17
"TCA.GLYOX.BYPASS..superpathway.of.glyoxylate.bypass.and.TCA",1.54229282053342,6.93268907802522e-17
"PWY.6803..phosphatidylcholine.acyl.editing",1.55418604346395,1.39553617599425e-16
"PWY.5675..nitrate.reduction.V..assimilatory.",1.7215723264162,2.71871959302573e-16
"PWY.4702..phytate.degradation.I",1.68376780695481,1.15864271021758e-15
"PWY.5173..superpathway.of.acetyl.CoA.biosynthesis",1.47886272889469,1.23801578123261e-15
"PWY.5913..TCA.cycle.VI..obligate.autotrophs.",1.65131765869834,1.31165675585313e-15
"FAO.PWY..fatty.acid..beta..oxidation.I",1.73759988272159,1.4274090352901e-15
"PWY.5136..fatty.acid..beta..oxidation.II..peroxisome.",1.67792269308297,1.4274090352901e-15
"PWY0.1586..peptidoglycan.maturation..meso.diaminopimelate.containing..g__Escherichia.s__Escherichia_coli",1.98929843612886,1.53079911653564e-15
"VALSYN.PWY..L.valine.biosynthesis.g__Escherichia.s__Escherichia_coli",2.33488304243924,3.55208314741473e-15
"PWY.7111..pyruvate.fermentation.to.isobutanol..engineered..g__Escherichia.s__Escherichia_coli",2.23533539958938,4.78345379897927e-15
"PWY.7117..C4.photosynthetic.carbon.assimilation.cycle..PEPCK.type",1.57050139730818,1.37895373477575e-14
"SULFATE.CYS.PWY..superpathway.of.sulfate.assimilation.and.cysteine.biosynthesis",1.39128615381844,1.37895373477575e-14
"P441.PWY..superpathway.of.N.acetylneuraminate.degradation",1.24719765869195,2.70629768869359e-14
"PWY.241..C4.photosynthetic.carbon.assimilation.cycle..NADP.ME.type",1.57288878132595,2.70629768869359e-14
"SO4ASSIM.PWY..sulfate.reduction.I..assimilatory.",1.53597635704909,2.70629768869359e-14
"PWY.5913..TCA.cycle.VI..obligate.autotrophs..unclassified",1.38638205618122,2.70629768869359e-14
