"feature","metadata","value","coef","stderr","N","N.not.0","pval","qval"
"PWY.5177..glutaryl.CoA.degradation.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","study_condition","T2D",-0.797336459081045,0.149421254308595,952,780,1.18822245517257e-07,6.68182237778862e-06
"VALSYN.PWY..L.valine.biosynthesis.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","study_condition","T2D",-0.752968517881833,0.141942053549585,952,777,1.40504872849882e-07,7.65265533886781e-06
"PWY.7111..pyruvate.fermentation.to.isobutanol..engineered..g__Faecalibacterium.s__Faecalibacterium_prausnitzii","study_condition","T2D",-0.878367991714648,0.169034541836102,952,815,2.48879860245021e-07,1.1973886609566e-05
"PWY.7219..adenosine.ribonucleotides.de.novo.biosynthesis.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","study_condition","T2D",-0.701869015756429,0.136919976326997,952,793,3.58535899491159e-07,1.6341688892597e-05
"DTDPRHAMSYN.PWY..dTDP.L.rhamnose.biosynthesis.I.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","study_condition","T2D",-0.728600246457407,0.146991899705167,952,803,8.49080257380579e-07,3.51819857842862e-05
"PWY.6121..5.aminoimidazole.ribonucleotide.biosynthesis.I.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","study_condition","T2D",-0.664038964762896,0.135805592584071,952,746,1.18635795535478e-06,4.73449764671537e-05
"ARGSYNBSUB.PWY..L.arginine.biosynthesis.II..acetyl.cycle..g__Faecalibacterium.s__Faecalibacterium_prausnitzii","study_condition","T2D",-0.661607655022963,0.135974079247747,952,763,1.33540912311131e-06,5.28065890691503e-05
"PWY.6507..4.deoxy.L.threo.hex.4.enopyranuronate.degradation.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","study_condition","T2D",-0.901011672170455,0.188606027023262,952,614,2.05892605412679e-06,7.33218238078157e-05
"RIBOSYN2.PWY..flavin.biosynthesis.I..bacteria.and.plants..g__Faecalibacterium.s__Faecalibacterium_prausnitzii","study_condition","T2D",-0.7817162502382,0.163686961600459,952,724,2.07434720934352e-06,7.33218238078157e-05
"PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","study_condition","T2D",-0.629801718006807,0.132121511599381,952,773,2.16520236725386e-06,7.59135728761879e-05
"PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","study_condition","T2D",-0.629801718006807,0.132121511599381,952,773,2.16520236725386e-06,7.59135728761879e-05
"GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose..g__Faecalibacterium.s__Faecalibacterium_prausnitzii","study_condition","T2D",-0.959445956664662,0.202822236526739,952,762,2.58073573712637e-06,8.76438097392722e-05
"GALACTUROCAT.PWY..D.galacturonate.degradation.I.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","study_condition","T2D",-0.824049260901786,0.174994417734648,952,617,2.86109468979441e-06,9.4931341048351e-05
"PWY.7221..guanosine.ribonucleotides.de.novo.biosynthesis.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","study_condition","T2D",-0.622828639008814,0.132369538856817,952,724,2.9133390393524e-06,9.62958629037856e-05
"PWY.6700..queuosine.biosynthesis.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","study_condition","T2D",-0.718546254825038,0.152850145286092,952,664,2.97310053693145e-06,9.77707356807533e-05
"PWY.6124..inosine.5..phosphate.biosynthesis.II.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","study_condition","T2D",-0.697450817610838,0.148379177709879,952,708,2.98053974823544e-06,9.77707356807533e-05
"PWY.7242..D.fructuronate.degradation.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","study_condition","T2D",-0.710673684724722,0.152676262024053,952,601,3.70542367947324e-06,0.000119289847822447
"PWY.6737..starch.degradation.V.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","study_condition","T2D",-0.733966241852576,0.157825222249668,952,770,3.78131294952827e-06,0.000120834576173118
"PWY.5686..UMP.biosynthesis.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","study_condition","T2D",-0.692852283554828,0.149118056234175,952,710,3.8567090482598e-06,0.000122069000778586
"TRNA.CHARGING.PWY..tRNA.charging.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","study_condition","T2D",-0.572459137274462,0.127182454434623,952,729,7.60162465502544e-06,0.000223152778008543
"PWY.6305..putrescine.biosynthesis.IV.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","study_condition","T2D",-0.649242930245877,0.144280395270276,952,740,7.6443339442347e-06,0.000223648418773894
"COA.PWY..coenzyme.A.biosynthesis.I.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","study_condition","T2D",-0.675914416229918,0.152110171499945,952,698,9.89226713994342e-06,0.000279957625594477
"PWY66.422..D.galactose.degradation.V..Leloir.pathway..g__Faecalibacterium.s__Faecalibacterium_prausnitzii","study_condition","T2D",-0.772436345031242,0.173992177974488,952,719,1.00784634614989e-05,0.000283478346855633
"PWY.6168..flavin.biosynthesis.III..fungi..g__Faecalibacterium.s__Faecalibacterium_prausnitzii","study_condition","T2D",-0.623437621480499,0.144373530052214,952,675,1.73859957952358e-05,0.000442831539961006
"PWY0.1296..purine.ribonucleosides.degradation.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","study_condition","T2D",-0.711190065032177,0.164824172048625,952,748,1.76493625209502e-05,0.000446910758571428
