"feature","metadata","value","coef","stderr","N","N.not.0","pval","qval"
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","study_condition","T2D",2.39932529161877,0.227579453911206,952,361,1.19568666353271e-24,1.03546465061932e-20
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","study_condition","T2D",-0.898199626265555,0.156846515633541,952,845,1.37517098599592e-08,9.60401672477797e-07
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza","study_condition","T2D",-1.01417705463477,0.212361038339659,952,381,2.07391693609809e-06,7.33218238078157e-05
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","study_condition","T2D",-0.84686178093173,0.202711796008863,952,484,3.21735759952667e-05,0.000739053496336895
"UNINTEGRATED.g__Gemmiger.s__Gemmiger_formicilis","study_condition","T2D",-0.755769643801479,0.182867276721706,952,566,3.89965604889917e-05,0.000857132522423015
"UNINTEGRATED.g__Parabacteroides.s__Parabacteroides_distasonis","study_condition","T2D",0.627344916867845,0.169783563081777,952,713,0.000232518513230106,0.0034777380389857
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens_CAG_72","study_condition","T2D",-0.96889639843283,0.2633626668754,952,491,0.000247403401541878,0.00367498020129102
"UNINTEGRATED.unclassified","study_condition","T2D",-0.207366985748126,0.0602855307756409,952,950,0.000607662510481844,0.00729678664945568
"UNINTEGRATED.g__Roseburia.s__Roseburia_hominis","study_condition","T2D",-0.534570120812964,0.165621860629749,952,446,0.00129096225369502,0.0128339585396212
"UNINTEGRATED.g__Lachnospiraceae_unclassified.s__Eubacterium_rectale","study_condition","T2D",-0.581954686475426,0.184124021688732,952,622,0.00162407824208801,0.015224513449314
"UNINTEGRATED.g__Bacteroides.s__Bacteroides_fragilis_CAG_47","study_condition","T2D",0.750174034518952,0.247219739463645,952,361,0.00247561285593024,0.0206142378195729
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_sp_CAG_180","study_condition","T2D",0.636047731089225,0.23702114708724,952,236,0.00741253498142621,0.0466854930466553
"UNINTEGRATED.g__Bacteroides.s__Bacteroides_fragilis","study_condition","T2D",0.392605635874621,0.150403044806389,952,419,0.00918763464090901,0.0547633946040283
"UNINTEGRATED.g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans","study_condition","T2D",-0.370376750101681,0.147765482472144,952,361,0.01235934125897,0.0683036983424892
"UNINTEGRATED.g__Ruminococcus.s__Ruminococcus_bicirculans","study_condition","T2D",-0.444865714789465,0.19978288375033,952,269,0.0261987698384437,0.11934842020038
"UNINTEGRATED.g__Barnesiella.s__Barnesiella_intestinihominis","study_condition","T2D",-0.41000393569273,0.191042985224896,952,367,0.0321158101358669,0.138167925296364
"UNINTEGRATED.g__Dialister.s__Dialister_invisus_CAG_218","study_condition","T2D",-0.350334508260727,0.172904999797851,952,226,0.0430275180934745,0.16822496916004
"UNINTEGRATED.g__Dialister.s__Dialister_invisus","study_condition","T2D",-0.337282018217618,0.184490745947724,952,229,0.0678372248232736,0.227632928405043
"UNINTEGRATED.g__Ruminococcaceae_unclassified.s__Eubacterium_siraeum","study_condition","T2D",-0.311342221137549,0.174945828634394,952,187,0.0754539953521268,0.241673224075544
