"Field","Description"
"Project","Microbiome signatures associated with Type 2 Diabetes metabolic traits"
"Study objective","Identify microbial species associated with metabolic dysfunction markers"
"Cohort","Human Microbiome Project 2 (HMP2)"
"Microbiome data type","Species-level gut microbiome abundance profiles"
"Clinical traits analyzed","HbA1c, Glucose, Triglycerides, HDL, LDL"
"Statistical framework","Multivariate microbial association analysis"
"Association method","MaAsLin2"
"Multiple testing correction","Benjamini-Hochberg FDR correction"
"Visualization tools","ggplot2, ggraph, pheatmap, UpSetR"
"Programming language","R"
