feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
UNINTEGRATED.g__Escherichia.s__Escherichia_coli	study_condition	T2D	2.39932529161877	0.227579453911206	952	361	1.19568666353271e-24	1.03546465061932e-20
GLYOXYLATE.BYPASS..glyoxylate.cycle	study_condition	T2D	1.74875839672407	0.17183444090245	952	433	3.71015049284761e-23	1.60649516340301e-19
GLYCOLYSIS.TCA.GLYOX.BYPASS..superpathway.of.glycolysis..pyruvate.dehydrogenase..TCA..and.glyoxylate.bypass	study_condition	T2D	1.43826157628473	0.152291812655889	952	361	2.70629621088053e-20	6.93268907802522e-17
TCA.GLYOX.BYPASS..superpathway.of.glyoxylate.bypass.and.TCA	study_condition	T2D	1.54229282053342	0.163641644227937	952	365	3.20216585590079e-20	6.93268907802522e-17
PWY.6803..phosphatidylcholine.acyl.editing	study_condition	T2D	1.55418604346395	0.166786675525648	952	360	8.05736822167579e-20	1.39553617599425e-16
PWY.5675..nitrate.reduction.V..assimilatory.	study_condition	T2D	1.7215723264162	0.186729623872774	952	331	1.88363944089542e-19	2.71871959302573e-16
PWY.4702..phytate.degradation.I	study_condition	T2D	1.68376780695481	0.186451415684587	952	314	9.36547225349084e-19	1.15864271021758e-15
PWY.5173..superpathway.of.acetyl.CoA.biosynthesis	study_condition	T2D	1.47886272889469	0.164193526231747	952	332	1.1436635392449e-18	1.23801578123261e-15
PWY.5913..TCA.cycle.VI..obligate.autotrophs.	study_condition	T2D	1.65131765869834	0.183767714162549	952	611	1.36315367236468e-18	1.31165675585313e-15
FAO.PWY..fatty.acid..beta..oxidation.I	study_condition	T2D	1.73759988272159	0.194106100154933	952	589	1.81310616491814e-18	1.4274090352901e-15
PWY.5136..fatty.acid..beta..oxidation.II..peroxisome.	study_condition	T2D	1.67792269308297	0.187231600399237	952	586	1.66850271694246e-18	1.4274090352901e-15
PWY0.1586..peptidoglycan.maturation..meso.diaminopimelate.containing..g__Escherichia.s__Escherichia_coli	study_condition	T2D	1.98929843612886	0.22269092904018	952	261	2.12119969958749e-18	1.53079911653564e-15
VALSYN.PWY..L.valine.biosynthesis.g__Escherichia.s__Escherichia_coli	study_condition	T2D	2.33488304243924	0.26466898538228	952	242	5.33222643376345e-18	3.55208314741473e-15
PWY.7111..pyruvate.fermentation.to.isobutanol..engineered..g__Escherichia.s__Escherichia_coli	study_condition	T2D	2.23533539958938	0.254687807729047	952	248	7.73306618772631e-18	4.78345379897927e-15
PWY.7117..C4.photosynthetic.carbon.assimilation.cycle..PEPCK.type	study_condition	T2D	1.57050139730818	0.181889885550405	952	605	2.47337422689843e-17	1.37895373477575e-14
SULFATE.CYS.PWY..superpathway.of.sulfate.assimilation.and.cysteine.biosynthesis	study_condition	T2D	1.39128615381844	0.161202014327261	952	598	2.54772052614457e-17	1.37895373477575e-14
P441.PWY..superpathway.of.N.acetylneuraminate.degradation	study_condition	T2D	1.24719765869195	0.146368940102449	952	543	6.17416616484014e-17	2.70629768869359e-14
PWY.241..C4.photosynthetic.carbon.assimilation.cycle..NADP.ME.type	study_condition	T2D	1.57288878132595	0.184333053042037	952	606	5.60976781499169e-17	2.70629768869359e-14
SO4ASSIM.PWY..sulfate.reduction.I..assimilatory.	study_condition	T2D	1.53597635704909	0.180419674264372	952	601	6.56019413403545e-17	2.70629768869359e-14
PWY.5913..TCA.cycle.VI..obligate.autotrophs..unclassified	study_condition	T2D	1.38638205618122	0.162574289852617	952	399	5.84796165510468e-17	2.70629768869359e-14
PWY0.1415..superpathway.of.heme.biosynthesis.from.uroporphyrinogen.III	study_condition	T2D	1.29991458097813	0.152692085924521	952	320	6.56261564232857e-17	2.70629768869359e-14
PWY.5918..superpathay.of.heme.biosynthesis.from.glutamate	study_condition	T2D	1.12279793156128	0.133041024623988	952	334	1.18326267468671e-16	4.65775216490313e-14
GLUCARDEG.PWY..D.glucarate.degradation.I	study_condition	T2D	1.42222784007127	0.169093817673702	952	406	1.48520445833649e-16	5.59211765617132e-14
PWY.5656..mannosylglycerate.biosynthesis.I	study_condition	T2D	1.246284354849	0.148646412643676	952	245	1.83451556478771e-16	6.61954366294233e-14
PWY.821..superpathway.of.sulfur.amino.acid.biosynthesis..Saccharomyces.cerevisiae.	study_condition	T2D	1.32613760926366	0.158335073740287	952	340	1.96530324172388e-16	6.80781042933153e-14
PWY.5723..Rubisco.shunt	study_condition	T2D	1.51801136490552	0.182149006367582	952	364	2.72908801107702e-16	9.08996237535653e-14
FERMENTATION.PWY..mixed.acid.fermentation	study_condition	T2D	1.34650415839216	0.162421676894415	952	569	3.84759114286047e-16	1.23407923322858e-13
PWY0.781..aspartate.superpathway	study_condition	T2D	1.14355609814318	0.138483536040941	952	422	4.96071569064482e-16	1.53427849574943e-13
P4.PWY..superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.I	study_condition	T2D	1.15599417609038	0.14132541424383	952	430	9.10523541781577e-16	2.71901167994085e-13
PWY.5345..superpathway.of.L.methionine.biosynthesis..by.sulfhydrylation.	study_condition	T2D	1.30010454117634	0.159579295804116	952	592	1.17165060839672e-15	3.38216475623852e-13
PWY.5971..palmitate.biosynthesis.II..bacteria.and.plants.	study_condition	T2D	0.922552081034392	0.113523525488525	952	225	1.37296020912557e-15	3.83543077775078e-13
