"Species","Pathway_clean","rho","p","FDR","Category"
"UNINTEGRATED.g__Dialister.s__Dialister_invisus","PWY 6122  5 aminoimidazole ribonucleotide biosynthesis II",0.983719940087086,0,0,"Nucleotide metabolism"
"UNINTEGRATED.g__Dialister.s__Dialister_invisus","PWY 6277  superpathway of 5 aminoimidazole ribonucleotide biosynthesis",0.983719940087086,0,0,"Nucleotide metabolism"
"UNINTEGRATED.g__Dialister.s__Dialister_invisus_CAG_218","PWY 6122  5 aminoimidazole ribonucleotide biosynthesis II",0.981549349004486,0,0,"Nucleotide metabolism"
"UNINTEGRATED.g__Dialister.s__Dialister_invisus_CAG_218","PWY 6277  superpathway of 5 aminoimidazole ribonucleotide biosynthesis",0.981549349004486,0,0,"Nucleotide metabolism"
"UNINTEGRATED.g__Dialister.s__Dialister_invisus_CAG_218","PWY 6121  5 aminoimidazole ribonucleotide biosynthesis I",0.9793117322708,0,0,"Nucleotide metabolism"
"UNINTEGRATED.g__Dialister.s__Dialister_invisus","PWY 6121  5 aminoimidazole ribonucleotide biosynthesis I",0.974906925102627,0,0,"Nucleotide metabolism"
"UNINTEGRATED.g__Dialister.s__Dialister_invisus_CAG_218","PWY 6122  5 aminoimidazole ribonucleotide biosynthesis II",0.970596298396427,0,0,"Nucleotide metabolism"
"UNINTEGRATED.g__Dialister.s__Dialister_invisus_CAG_218","PWY 6277  superpathway of 5 aminoimidazole ribonucleotide biosynthesis",0.970596298396427,0,0,"Nucleotide metabolism"
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza","PWY 6122  5 aminoimidazole ribonucleotide biosynthesis II",0.968031435903205,0,0,"Nucleotide metabolism"
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza","PWY 6277  superpathway of 5 aminoimidazole ribonucleotide biosynthesis",0.968031435903205,0,0,"Nucleotide metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens_CAG_72","PWY 6122  5 aminoimidazole ribonucleotide biosynthesis II",0.966511988842662,0,0,"Nucleotide metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens_CAG_72","PWY 6277  superpathway of 5 aminoimidazole ribonucleotide biosynthesis",0.966511988842662,0,0,"Nucleotide metabolism"
"UNINTEGRATED.g__Dialister.s__Dialister_invisus_CAG_218","COA PWY 1  coenzyme A biosynthesis II  mammalian ",0.966253438527976,0,0,"Lipid and cofactor metabolism"
"UNINTEGRATED.g__Dialister.s__Dialister_invisus","PWY 6122  5 aminoimidazole ribonucleotide biosynthesis II",0.964156124528426,0,0,"Nucleotide metabolism"
"UNINTEGRATED.g__Dialister.s__Dialister_invisus","PWY 6277  superpathway of 5 aminoimidazole ribonucleotide biosynthesis",0.964156124528426,0,0,"Nucleotide metabolism"
"UNINTEGRATED.g__Dialister.s__Dialister_invisus_CAG_218","COA PWY 1  coenzyme A biosynthesis II  mammalian ",0.962169926615886,0,0,"Lipid and cofactor metabolism"
"UNINTEGRATED.g__Dialister.s__Dialister_invisus","COA PWY 1  coenzyme A biosynthesis II  mammalian ",0.959974813714156,0,0,"Lipid and cofactor metabolism"
"UNINTEGRATED.g__Dialister.s__Dialister_invisus","COA PWY 1  coenzyme A biosynthesis II  mammalian ",0.95987155955865,0,0,"Lipid and cofactor metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_sp_CAG_180","VALSYN PWY  L valine biosynthesis",0.959765365952269,0,0,"Amino acid metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_sp_CAG_180","PWY 7111  pyruvate fermentation to isobutanol  engineered ",0.959757035148763,0,0,"Energy metabolism"
"UNINTEGRATED.g__Dialister.s__Dialister_invisus_CAG_218","PWY 6387  UDP N acetylmuramoyl pentapeptide biosynthesis I  meso diaminopimelate containing ",0.958622963768329,0,0,"Lipid and cofactor metabolism"
"UNINTEGRATED.g__Lachnospiraceae_unclassified.s__Eubacterium_rectale","PWY 7111  pyruvate fermentation to isobutanol  engineered ",0.955606419403448,0,0,"Energy metabolism"
"UNINTEGRATED.g__Dialister.s__Dialister_invisus","PWY 6387  UDP N acetylmuramoyl pentapeptide biosynthesis I  meso diaminopimelate containing ",0.955380035759192,0,0,"Lipid and cofactor metabolism"
"UNINTEGRATED.g__Dialister.s__Dialister_invisus_CAG_218","COA PWY  coenzyme A biosynthesis I",0.953933486948879,0,0,"Lipid and cofactor metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY 6122  5 aminoimidazole ribonucleotide biosynthesis II",0.951792696236239,0,0,"Nucleotide metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY 6277  superpathway of 5 aminoimidazole ribonucleotide biosynthesis",0.951792696236239,0,0,"Nucleotide metabolism"
"UNINTEGRATED.g__Dialister.s__Dialister_invisus_CAG_218","PWY 7221  guanosine ribonucleotides de novo biosynthesis",0.948015657047562,0,0,"Nucleotide metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY 6122  5 aminoimidazole ribonucleotide biosynthesis II",0.947573064416415,0,0,"Nucleotide metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY 6277  superpathway of 5 aminoimidazole ribonucleotide biosynthesis",0.947573064416415,0,0,"Nucleotide metabolism"
"UNINTEGRATED.g__Dialister.s__Dialister_invisus_CAG_218","PWY 5686  UMP biosynthesis",0.947491077951616,0,0,"Nucleotide metabolism"
"UNINTEGRATED.g__Gemmiger.s__Gemmiger_formicilis","VALSYN PWY  L valine biosynthesis",0.946466154734107,0,0,"Amino acid metabolism"
"UNINTEGRATED.g__Dialister.s__Dialister_invisus","COA PWY  coenzyme A biosynthesis I",0.946326327736194,0,0,"Lipid and cofactor metabolism"
"UNINTEGRATED.g__Dialister.s__Dialister_invisus_CAG_218","PWY 5097  L lysine biosynthesis VI",0.946060782297849,0,0,"Amino acid metabolism"
"UNINTEGRATED.g__Dialister.s__Dialister_invisus_CAG_218","PWY 6387  UDP N acetylmuramoyl pentapeptide biosynthesis I  meso diaminopimelate containing ",0.945983722208099,0,0,"Lipid and cofactor metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens_CAG_72","PWY 6122  5 aminoimidazole ribonucleotide biosynthesis II",0.944231097986438,0,0,"Nucleotide metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens_CAG_72","PWY 6277  superpathway of 5 aminoimidazole ribonucleotide biosynthesis",0.944231097986438,0,0,"Nucleotide metabolism"
"UNINTEGRATED.g__Dialister.s__Dialister_invisus_CAG_218","PWY 2942  L lysine biosynthesis III",0.943898123165272,0,0,"Amino acid metabolism"
"UNINTEGRATED.g__Dialister.s__Dialister_invisus","PWY 5686  UMP biosynthesis",0.943800670477984,0,0,"Nucleotide metabolism"
"UNINTEGRATED.g__Dialister.s__Dialister_invisus","PWY 5097  L lysine biosynthesis VI",0.943529721836744,0,0,"Amino acid metabolism"
"UNINTEGRATED.g__Dialister.s__Dialister_invisus_CAG_218","PWY 5097  L lysine biosynthesis VI",0.94283434353908,0,0,"Amino acid metabolism"
"UNINTEGRATED.g__Dialister.s__Dialister_invisus","PWY 2942  L lysine biosynthesis III",0.941334924255948,0,0,"Amino acid metabolism"
"UNINTEGRATED.g__Dialister.s__Dialister_invisus","PWY 7221  guanosine ribonucleotides de novo biosynthesis",0.941106755826572,0,0,"Nucleotide metabolism"
"UNINTEGRATED.g__Dialister.s__Dialister_invisus_CAG_218","PWY 2942  L lysine biosynthesis III",0.940158362380551,0,0,"Amino acid metabolism"
"UNINTEGRATED.g__Dialister.s__Dialister_invisus","PWY 6387  UDP N acetylmuramoyl pentapeptide biosynthesis I  meso diaminopimelate containing ",0.939773793686876,0,0,"Lipid and cofactor metabolism"
"UNINTEGRATED.g__Dialister.s__Dialister_invisus_CAG_218","PWY 5686  UMP biosynthesis",0.939537359889725,0,0,"Nucleotide metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens_CAG_72","PWY 6121  5 aminoimidazole ribonucleotide biosynthesis I",0.938730056493759,0,0,"Nucleotide metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_sp_CAG_180","PWY 6122  5 aminoimidazole ribonucleotide biosynthesis II",0.93842392002202,0,0,"Nucleotide metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_sp_CAG_180","PWY 6277  superpathway of 5 aminoimidazole ribonucleotide biosynthesis",0.93842392002202,0,0,"Nucleotide metabolism"
