"pathway","log2FC","pvalue","FDR","category","direction"
"PWY-6803: phosphatidylcholine acyl editing",1.61437953092423,1.85983455600127e-32,6.7171024714246e-30,"Cardiometabolic","T2D_enriched"
"PWY-6803: phosphatidylcholine acyl editing|g__Escherichia.s__Escherichia_coli",1.5250490456914,1.61288756563597e-21,4.53912643471836e-20,"Cardiometabolic","T2D_enriched"
"PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Escherichia.s__Escherichia_coli",2.03328080437074,1.70587708981214e-31,3.69663565362291e-29,"Inflammation","T2D_enriched"
"PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_thetaiotaomicron",0.620805822160239,0.000131808496459356,0.000580546772006962,"Inflammation","T2D_enriched"
"PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_caccae",0.619985766605061,1.19770350506428e-08,1.00989241069038e-07,"Inflammation","T2D_enriched"
"PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|g__Bacteroides.s__Bacteroides_caccae",0.617688221610533,4.62918353218158e-08,3.54467869761042e-07,"Inflammation","T2D_enriched"
"PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|unclassified",0.616538284771483,9.36903050875919e-18,1.67790819111415e-16,"Inflammation","T2D_enriched"
"PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|g__Bacteroides.s__Bacteroides_thetaiotaomicron",0.611920718348782,0.000163150691356483,0.000702877829362819,"Inflammation","T2D_enriched"
"PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_thetaiotaomicron",0.569849179914465,0.00120972691738695,0.00428346116009399,"Inflammation","T2D_enriched"
"PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|g__Parabacteroides.s__Parabacteroides_distasonis",0.485759511491856,7.49007002019951e-09,6.51846655974793e-08,"Inflammation","T2D_enriched"
"PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Parabacteroides.s__Parabacteroides_distasonis",0.471173154218323,1.96792256271499e-08,1.61533643689522e-07,"Inflammation","T2D_enriched"
"PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|g__Roseburia.s__Roseburia_inulinivorans",0.399885591695352,0.000370366262067343,0.00148078171568253,"Inflammation","T2D_enriched"
"PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Roseburia.s__Roseburia_inulinivorans",0.397180297130047,0.00118790664791099,0.0042199896820051,"Inflammation","T2D_enriched"
"PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Ruminococcus.s__Ruminococcus_bromii",0.349495361784145,0.0128840669547311,0.0316175157455968,"Inflammation","T2D_enriched"
"PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Dialister.s__Dialister_invisus_CAG_218",-0.347947167669217,0.00637387089082343,0.017822165445696,"Inflammation","Control_enriched"
"PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|g__Dialister.s__Dialister_invisus_CAG_218",-0.329750819191642,0.00446039025694278,0.0131864470488336,"Inflammation","Control_enriched"
"PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|g__Dialister.s__Dialister_invisus",-0.324011771056612,0.00289905412403931,0.00902622167642699,"Inflammation","Control_enriched"
"PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Dialister.s__Dialister_invisus",-0.31356402035705,0.00562673891888154,0.015959611567037,"Inflammation","Control_enriched"
"PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii",-0.299700968471929,0.0217880478312835,0.0479824183438937,"Inflammation","Control_enriched"
"PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Alistipes.s__Alistipes_putredinis_CAG_67",-0.295066345634129,0.00230133613941438,0.00741009719778746,"Inflammation","Control_enriched"
"PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Alistipes.s__Alistipes_putredinis",-0.278265438049387,0.00815421219898731,0.0216281246452944,"Inflammation","Control_enriched"
"PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_uniformis",0.272277561999475,0.00129221761798947,0.00452380545748495,"Inflammation","T2D_enriched"
"PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|g__Alistipes.s__Alistipes_putredinis",-0.268193679473224,0.0180049556730061,0.0412003579127817,"Inflammation","Control_enriched"
"PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|g__Bacteroides.s__Bacteroides_uniformis",0.264497189994898,0.00177070431385562,0.00593062789509293,"Inflammation","T2D_enriched"
"PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|unclassified",-0.248358880624758,1.9881776443657e-05,0.000103334377571807,"Inflammation","Control_enriched"
"PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)",0.242497053843537,9.38519680185863e-13,1.17559083639466e-11,"Inflammation","T2D_enriched"
"PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|g__Bacteroides.s__Bacteroides_uniformis_CAG_3",0.216398074295366,0.00162040612903775,0.00546950168477383,"Inflammation","T2D_enriched"
"PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|unclassified",-0.214490230338234,0.000188500353362239,0.000807273252442634,"Inflammation","Control_enriched"
"PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_uniformis_CAG_3",0.211810677438044,0.00328485162606917,0.0100116363905653,"Inflammation","T2D_enriched"
"PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_massiliensis",0.201684260189737,0.0214744885140303,0.0475334183962243,"Inflammation","T2D_enriched"
"VALSYN-PWY: L-valine biosynthesis|g__Escherichia.s__Escherichia_coli",1.98108902922332,1.57575788714305e-29,2.13416708839937e-27,"Insulin_resistance","T2D_enriched"
"PWY-821: superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae)",1.38960217699008,3.21223307485982e-27,2.10936638582461e-25,"Insulin_resistance","T2D_enriched"
"PWY-5022: 4-aminobutanoate degradation V",1.0346691156143,1.16684081612691e-19,2.63390005056982e-18,"Insulin_resistance","T2D_enriched"
"PWY-6519: 8-amino-7-oxononanoate biosynthesis I|unclassified",0.872278382099738,1.11827482977024e-15,1.79503818971267e-14,"Insulin_resistance","T2D_enriched"
