"species","pathway","category","direction","log2FC","FDR"
"g__Escherichia.s__Escherichia_coli","PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Escherichia.s__Escherichia_coli","Inflammation","T2D_enriched",2.03328080437074,3.69663565362291e-29
"g__Escherichia.s__Escherichia_coli","VALSYN-PWY: L-valine biosynthesis|g__Escherichia.s__Escherichia_coli","Insulin_resistance","T2D_enriched",1.98108902922332,2.13416708839937e-27
"g__Escherichia.s__Escherichia_coli","PWY-6803: phosphatidylcholine acyl editing|g__Escherichia.s__Escherichia_coli","Cardiometabolic","T2D_enriched",1.5250490456914,4.53912643471836e-20
"g__Bacteroides.s__Bacteroides_thetaiotaomicron","PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_thetaiotaomicron","Inflammation","T2D_enriched",0.620805822160239,0.000580546772006962
"g__Bacteroides.s__Bacteroides_caccae","PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_caccae","Inflammation","T2D_enriched",0.619985766605061,1.00989241069038e-07
"g__Bacteroides.s__Bacteroides_caccae","PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|g__Bacteroides.s__Bacteroides_caccae","Inflammation","T2D_enriched",0.617688221610533,3.54467869761042e-07
"g__Bacteroides.s__Bacteroides_thetaiotaomicron","PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|g__Bacteroides.s__Bacteroides_thetaiotaomicron","Inflammation","T2D_enriched",0.611920718348782,0.000702877829362819
"g__Bacteroides.s__Bacteroides_caccae","PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_caccae","Insulin_resistance","T2D_enriched",0.602006847119567,2.23558867951242e-07
"g__Bacteroides.s__Bacteroides_thetaiotaomicron","PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_thetaiotaomicron","Inflammation","T2D_enriched",0.569849179914465,0.00428346116009399
"g__Bacteroides.s__Bacteroides_thetaiotaomicron","PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Bacteroides.s__Bacteroides_thetaiotaomicron","Insulin_resistance","T2D_enriched",0.564810020137167,0.00261601207187953
"g__Bacteroides.s__Bacteroides_thetaiotaomicron","PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_thetaiotaomicron","Insulin_resistance","T2D_enriched",0.559619879366878,0.00453749227522591
"g__Bacteroides.s__Bacteroides_thetaiotaomicron","PWY-5103: L-isoleucine biosynthesis III|g__Bacteroides.s__Bacteroides_thetaiotaomicron","Insulin_resistance","T2D_enriched",0.515974903162166,0.00717669515136768
"g__Bacteroides.s__Bacteroides_thetaiotaomicron","BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Bacteroides.s__Bacteroides_thetaiotaomicron","Insulin_resistance","T2D_enriched",0.506230058224502,0.00767083668143195
"g__Parabacteroides.s__Parabacteroides_distasonis","PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Parabacteroides.s__Parabacteroides_distasonis","Insulin_resistance","T2D_enriched",0.505369280055872,2.15279839416135e-09
"g__Parabacteroides.s__Parabacteroides_distasonis","PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis","Insulin_resistance","T2D_enriched",0.505369280055872,2.15279839416135e-09
"g__Roseburia.s__Roseburia_inulinivorans","PWY-5100: pyruvate fermentation to acetate and lactate II|g__Roseburia.s__Roseburia_inulinivorans","SCFA","T2D_enriched",0.501228022597808,0.000454145860539762
"g__Bacteroides.s__Bacteroides_caccae","PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Bacteroides.s__Bacteroides_caccae","Insulin_resistance","T2D_enriched",0.501207609398441,0.000149523831935312
"g__Bacteroides.s__Bacteroides_thetaiotaomicron","PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Bacteroides.s__Bacteroides_thetaiotaomicron","Insulin_resistance","T2D_enriched",0.49469611018691,0.00166789372613255
"g__Bacteroides.s__Bacteroides_thetaiotaomicron","PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Bacteroides.s__Bacteroides_thetaiotaomicron","Insulin_resistance","T2D_enriched",0.49469611018691,0.00166789372613255
"g__Parabacteroides.s__Parabacteroides_distasonis","PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Parabacteroides.s__Parabacteroides_distasonis","Insulin_resistance","T2D_enriched",0.491581470855303,2.01902564228652e-08
"g__Gemmiger.s__Gemmiger_formicilis","ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Gemmiger.s__Gemmiger_formicilis","Insulin_resistance","Control_enriched",-0.49109478716,8.68753545292391e-05
"g__Parabacteroides.s__Parabacteroides_distasonis","PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|g__Parabacteroides.s__Parabacteroides_distasonis","Inflammation","T2D_enriched",0.485759511491856,6.51846655974793e-08
"g__Gemmiger.s__Gemmiger_formicilis","VALSYN-PWY: L-valine biosynthesis|g__Gemmiger.s__Gemmiger_formicilis","Insulin_resistance","Control_enriched",-0.480521583175547,6.39190048692592e-07
"g__Bacteroides.s__Bacteroides_caccae","PWY-5103: L-isoleucine biosynthesis III|g__Bacteroides.s__Bacteroides_caccae","Insulin_resistance","T2D_enriched",0.480278134997451,0.004678952875319
"g__Bacteroides.s__Bacteroides_thetaiotaomicron","ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Bacteroides.s__Bacteroides_thetaiotaomicron","Insulin_resistance","T2D_enriched",0.478616245733047,0.00759100967308323
