"Species","Degree"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens",87
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens_CAG_72",86
"UNINTEGRATED.g__Parabacteroides.s__Parabacteroides_distasonis",59
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",43
"UNINTEGRATED.g__Dialister.s__Dialister_invisus",42
"UNINTEGRATED.g__Dialister.s__Dialister_invisus_CAG_218",42
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli",38
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza",38
"UNINTEGRATED.g__Bacteroides.s__Bacteroides_fragilis_CAG_47",37
"UNINTEGRATED.unclassified",36
"UNINTEGRATED.g__Bacteroides.s__Bacteroides_fragilis",29
"UNINTEGRATED.g__Barnesiella.s__Barnesiella_intestinihominis",23
"UNINTEGRATED.g__Gemmiger.s__Gemmiger_formicilis",13
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_sp_CAG_180",7
"UNINTEGRATED.g__Lachnospiraceae_unclassified.s__Eubacterium_rectale",3
"UNINTEGRATED.g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans",2
"UNINTEGRATED.g__Roseburia.s__Roseburia_hominis",2
"UNINTEGRATED.g__Ruminococcaceae_unclassified.s__Eubacterium_siraeum",1
"UNINTEGRATED.g__Ruminococcus.s__Ruminococcus_bicirculans",1
